#{"t_start": 1774317452.6745956, "env_id": "None"}
r,l,t
-30.310601,207,14836.014804
30.997165,137,14852.32634
36.40269,112,14865.836567
-18.956198,19,14870.040399
31.681605,77,14880.0465
-17.22899,78,14890.153694
36.558626,112,14903.663392
-17.496237,58,14911.749898
37.231477,82,14922.257513
32.47405,37,14928.262591
-6.031651,241,14954.679487
21.32597,145,14971.493508
26.141928,48,14978.599832
30.477045,146,14995.510134
33.221139,111,15008.920146
29.776736,78,15019.327641
32.827005,133,15034.936969
29.046596,111,15048.349932
28.534544,66,15057.252848
-20.306149,117,15071.263958
30.693923,59,15079.469992
31.757773,89,15090.67865
35.109617,87,15101.687309
35.785055,92,15113.195438
35.722057,189,15134.409394
22.640466,230,15159.724628
13.636259,206,15182.640675
33.698779,86,15193.528034
-20.314184,25,15198.330834
32.274611,44,15205.035171
39.752762,171,15224.447252
33.924345,79,15234.654711
32.682831,161,15253.066576
34.841021,73,15262.673664
-17.285168,13,15266.278569
38.887359,190,15287.596542
28.67973,161,15306.010461
-29.764227,76,15315.91785
-45.478714,304,15348.651037
19.914004,180,15368.965193
27.338457,155,15386.777281
40.726382,236,15412.696892
-15.343872,27,15417.701914
-17.674658,19,15421.906327
-20.435247,32,15427.41124
28.862621,131,15442.800832
25.590913,58,15450.906978
-20.690658,166,15469.821047
36.149929,93,15481.429783
34.112818,59,15489.636112
31.51101,35,15495.742018
-18.26206,15,15499.545446
-16.544153,7,15502.549202
34.792121,106,15515.461471
-27.389586,164,15534.171067
38.862851,140,15550.4823
30.421284,114,15564.192124
-9.092999,404,15606.919623
34.738695,228,15632.036891
30.416462,103,15644.645764
28.113829,238,15670.763185
38.400528,158,15688.876998
32.414232,66,15697.782687
38.841781,135,15713.57499
31.558444,52,15721.382154
-20.172582,31,15726.786203
28.932124,66,15735.693288
25.405683,86,15746.60226
32.270792,68,15755.708995
28.158293,111,15769.118503
28.850244,64,15777.825541
33.471983,84,15788.532705
30.220627,46,15795.438741
12.795862,154,15813.14969
33.751595,91,15824.559832
25.090588,130,15839.86971
26.900543,118,15853.98039
-14.04373,38,15860.085184
8.15233,338,15896.511719
31.937886,47,15903.518514
33.008251,315,15937.319692
28.345164,221,15961.736498
36.998693,121,15976.147631
33.309896,177,15996.161118
25.01321,151,16013.573306
32.584055,78,16023.680325
38.509646,231,16049.097894
29.793111,27,16054.10422
34.374494,116,16068.001965
26.787938,307,16101.038934
-18.499623,114,16114.75773
25.775798,189,16135.972614
27.899529,107,16148.981088
